Open,High,Low,Close,Volume,Dividends,Stock Splits
146.82,146.84,146.7,146.82,152386,0.0,0.0
146.82,146.88,146.77,146.8,166599,0.0,0.0
146.79,146.83,146.78,146.8,148797,0.0,0.0
146.81,146.83,146.77,146.79,184874,0.0,0.0
146.79,146.87,146.78,146.81,314683,0.0,0.0
146.81,146.97,146.77,146.94,913911,0.0,0.0
147.58,147.85,146.96,147.0,1340207,0.0,0.0
146.99,146.99,146.45,146.59,306944,0.0,0.0
146.6,147.0,146.53,146.66,424205,0.0,0.0
146.68,146.91,146.58,146.58,237843,0.0,0.0
146.57,146.82,146.38,146.43,318962,0.0,0.0
146.44,146.47,146.21,146.34,269330,0.0,0.0
146.39,146.7,146.39,146.63,198982,0.0,0.0
146.64,146.73,146.53,146.63,153518,0.0,0.0
146.65,146.75,146.3,146.42,214787,0.0,0.0
146.42,146.49,146.11,146.28,247272,0.0,0.0
146.28,146.35,146.12,146.15,198362,0.0,0.0
146.16,146.34,145.95,146.34,303814,0.0,0.0
146.33,146.63,146.31,146.49,173273,0.0,0.0
146.49,146.64,146.41,146.54,116061,0.0,0.0
146.55,146.65,146.27,146.31,165135,0.0,0.0
146.3,146.35,146.2,146.21,145988,0.0,0.0
146.21,146.34,146.2,146.21,104113,0.0,0.0
146.22,146.3,146.1,146.19,114443,0.0,0.0
146.17,146.24,146.13,146.14,125236,0.0,0.0
146.15,146.17,146.0,146.02,103640,0.0,0.0
146.03,146.38,146.02,146.33,138588,0.0,0.0
146.34,146.39,146.27,146.38,91766,0.0,0.0
146.38,146.52,146.36,146.48,119852,0.0,0.0
146.48,146.57,146.35,146.36,114066,0.0,0.0
146.36,146.39,146.12,146.18,113937,0.0,0.0
146.18,146.19,146.02,146.1,114806,0.0,0.0
146.1,146.18,146.04,146.06,115992,0.0,0.0
146.06,146.17,146.04,146.14,115813,0.0,0.0
146.16,146.18,146.04,146.04,97849,0.0,0.0
146.04,146.05,145.84,145.85,270152,0.0,0.0
145.85,145.86,145.52,145.62,261480,0.0,0.0
145.62,145.78,145.52,145.52,178845,0.0,0.0
145.53,145.77,145.52,145.76,156118,0.0,0.0
145.76,145.77,145.56,145.6,180855,0.0,0.0
145.61,145.69,145.36,145.42,200666,0.0,0.0
145.41,145.85,145.36,145.82,198909,0.0,0.0
145.83,145.94,145.65,145.73,190768,0.0,0.0
145.73,145.97,145.69,145.95,102399,0.0,0.0
145.94,146.02,145.92,146.0,149123,0.0,0.0
146.0,146.18,146.0,146.07,140108,0.0,0.0
146.07,146.17,146.04,146.06,127548,0.0,0.0
146.06,146.17,145.9,146.15,121125,0.0,0.0
146.15,146.19,146.05,146.16,104955,0.0,0.0
146.17,146.24,146.03,146.03,103260,0.0,0.0
146.04,146.07,145.96,146.04,98746,0.0,0.0
146.05,146.22,146.02,146.2,130156,0.0,0.0
146.15,146.21,146.05,146.12,91645,0.0,0.0
